"two_year_recid","sex","age","race","priors_count","juv_fel_count","juv_misd_count","charge","violent","risk_recidivism_score","hand","height"
"Did reoffend","Males",29,"African-Americans",4,0,0,"Individuals convicted of a Felony","Violent offences",4,"Left-handed individuals",6.2651965385598
"Did not reoffend","Males",43,"Caucasians",12,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.42123676537269
"Did not reoffend","Males",29,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.8272104068614
"Did not reoffend","Males",55,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.74677465622464
"Did reoffend","Females",39,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.61543372580154
"Did reoffend","Females",20,"Caucasians",0,0,0,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",6.01624444948712
"Did not reoffend","Males",52,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.70012217951527
"Did not reoffend","Males",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.90479864826468
"Did not reoffend","Males",53,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.51523747797079
"Did not reoffend","Males",41,"Hispanics",9,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.58271462190218
"Did reoffend","Males",41,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.56695149884864
"Did not reoffend","Males",25,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.42823182397882
"Did reoffend","Males",20,"Others",0,0,0,"Individuals convicted of a Felony","Violent offences",5,"Left-handed individuals",5.46477606241191
"Did reoffend","Males",22,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.70192302565802
"Did reoffend","Males",24,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",5.97705544915437
"Did not reoffend","Males",54,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.62199458050816
"Did not reoffend","Males",42,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.31138669930505
"Did not reoffend","Males",25,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.76094377112575
"Did not reoffend","Males",55,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.28236534082745
"Did not reoffend","Males",62,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.7626486157767
"Did not reoffend","Males",48,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.78279404237477
"Did not reoffend","Males",58,"Caucasians",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.81315019482185
"Did not reoffend","Males",50,"Caucasians",5,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.05638767299728
"Did not reoffend","Males",45,"Hispanics",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.17106250568191
"Did not reoffend","Females",22,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.7551318553417
"Did not reoffend","Males",57,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.69075426073091
"Did reoffend","Females",20,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.15062278827298
"Did not reoffend","Females",30,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.22198863179661
"Did reoffend","Males",30,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.73027551636595
"Did reoffend","Males",51,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Violent offences",2,"Left-handed individuals",5.65855833966792
"Did not reoffend","Males",66,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.54936281439725
"Did not reoffend","Males",28,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.72183577521353
"Did reoffend","Females",27,"African-Americans",10,0,1,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.83292110494271
"Did reoffend","Males",47,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.38566357587312
"Did reoffend","Males",41,"Hispanics",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.70240393987628
"Did not reoffend","Males",43,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.85536269380691
"Did reoffend","Males",30,"African-Americans",11,0,0,"Individuals convicted of a Misdemeanor","Violent offences",9,"Left-handed individuals",6.07051926229055
"Did not reoffend","Females",32,"Caucasians",4,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.49060953839648
"Did not reoffend","Males",59,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.21354823322091
"Did reoffend","Females",23,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.85680308614059
"Did reoffend","Males",35,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",5.89939946246961
"Did not reoffend","Males",25,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.94409453467091
"Did not reoffend","Females",26,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.68081580732321
"Did not reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.45699461037523
"Did not reoffend","Females",21,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.58164299384966
"Did reoffend","Males",54,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.07883714268754
"Did not reoffend","Males",44,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.69894770087929
"Did not reoffend","Males",42,"Caucasians",6,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.75511099629438
"Did not reoffend","Females",34,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.36154590372977
"Did reoffend","Females",21,"African-Americans",1,0,1,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.75876376864797
"Did not reoffend","Males",54,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.53285593225028
"Did not reoffend","Females",39,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.37642118799087
"Did not reoffend","Males",63,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.67904730047229
"Did not reoffend","Males",20,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.6017446595916
"Did reoffend","Males",36,"Caucasians",9,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.82295244401488
"Did reoffend","Males",48,"African-Americans",9,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.46284756343823
"Did not reoffend","Males",51,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",6.0353419674755
"Did reoffend","Males",27,"African-Americans",9,0,1,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.07000601614103
"Did reoffend","Males",21,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.8039897507281
"Did not reoffend","Males",53,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.37636128649919
"Did reoffend","Males",56,"African-Americans",12,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",6.10741265997534
"Did not reoffend","Males",25,"Others",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.79566636506449
"Did not reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.52826996830953
"Did not reoffend","Females",29,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.28320269856626
"Did not reoffend","Females",44,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.53784060478296
"Did reoffend","Males",35,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.43216680684468
"Did reoffend","Males",29,"African-Americans",2,0,0,"Individuals convicted of a Felony","Violent offences",2,"Left-handed individuals",5.52595521674981
"Did reoffend","Males",33,"Others",0,0,0,"Individuals convicted of a Felony","Violent offences",1,"Left-handed individuals",5.15490164259103
"Did not reoffend","Males",73,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.51026885263011
"Did not reoffend","Males",30,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.37198679920243
"Did reoffend","Males",30,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.484735813256
"Did reoffend","Males",28,"African-Americans",6,0,0,"Individuals convicted of a Misdemeanor","Violent offences",6,"Left-handed individuals",5.89480472807349
"Did not reoffend","Males",39,"African-Americans",9,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.57003185856756
"Did reoffend","Males",33,"African-Americans",6,0,1,"Individuals convicted of a Misdemeanor","Violent offences",3,"Left-handed individuals",5.70964023962697
"Did reoffend","Males",24,"Others",2,0,1,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.2663422033743
"Did not reoffend","Males",46,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",4.9786987869768
"Did reoffend","Males",20,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.47518808446039
"Did not reoffend","Males",35,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.61228038817375
"Did reoffend","Males",27,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.70936197275387
"Did not reoffend","Males",26,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.65426627877229
"Did reoffend","Males",24,"Caucasians",5,0,0,"Individuals convicted of a Felony","Violent offences",5,"Left-handed individuals",5.55918691851872
"Did reoffend","Males",27,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.86344733244076
"Did reoffend","Males",48,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.57973047984986
"Did reoffend","Males",29,"African-Americans",5,0,0,"Individuals convicted of a Felony","Violent offences",5,"Left-handed individuals",5.67359020722289
"Did not reoffend","Males",41,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.65401608880793
"Did not reoffend","Males",35,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.46872114077992
"Did reoffend","Males",26,"African-Americans",9,0,0,"Individuals convicted of a Felony","Violent offences",7,"Left-handed individuals",5.64489237659785
"Did reoffend","Males",22,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.76425318240843
"Did not reoffend","Males",27,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.97902888456114
"Did reoffend","Males",20,"Caucasians",0,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.94734436759657
"Did not reoffend","Females",45,"Caucasians",5,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.42431157729636
"Did not reoffend","Males",27,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.98718236534261
"Did reoffend","Males",27,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.68571914223082
"Did not reoffend","Males",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.95569864186523
"Did not reoffend","Males",58,"Caucasians",5,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.71460411763135
"Did not reoffend","Males",25,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.54371983489883
"Did reoffend","Males",36,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Violent offences",2,"Left-handed individuals",5.45274563060386
"Did not reoffend","Males",39,"Caucasians",1,1,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.56929837471272
"Did not reoffend","Females",52,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.50306551976386
"Did reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.89658061292195
"Did not reoffend","Males",24,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.43517490073526
"Did not reoffend","Males",30,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.78051319819673
"Did reoffend","Males",26,"Caucasians",2,0,0,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",5.97439940565429
"Did reoffend","Males",25,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Violent offences",4,"Left-handed individuals",5.32328263957917
"Did not reoffend","Females",27,"African-Americans",8,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.47069886385344
"Did reoffend","Males",23,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.05832063378694
"Did reoffend","Males",23,"African-Americans",4,0,1,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.07082770761117
"Did reoffend","Males",19,"African-Americans",3,2,1,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.47312565249397
"Did reoffend","Males",31,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.50303257765489
"Did not reoffend","Males",32,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.59673643739664
"Did not reoffend","Males",40,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.61967791849625
"Did not reoffend","Females",34,"Hispanics",5,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.84732875525147
"Did not reoffend","Males",28,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.57769882413713
"Did not reoffend","Females",36,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",6.1010919708346
"Did reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.46028355614824
"Did not reoffend","Males",30,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.82181193613444
"Did reoffend","Males",23,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.65574178529936
"Did reoffend","Females",38,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Violent offences",6,"Left-handed individuals",5.91125814229649
"Did reoffend","Males",22,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.73188849770288
"Did reoffend","Females",21,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.03553177090963
"Did reoffend","Males",30,"Caucasians",5,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.21497722692836
"Did reoffend","Males",28,"Caucasians",2,0,0,"Individuals convicted of a Felony","Violent offences",3,"Left-handed individuals",5.75176804863135
"Did not reoffend","Females",44,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.20993900895283
"Did not reoffend","Females",21,"African-Americans",2,0,1,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.96751754896161
"Did not reoffend","Males",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.9090884983895
"Did reoffend","Males",20,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.2331376658879
"Did reoffend","Males",24,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.89454336828742
"Did not reoffend","Males",54,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.62353423167245
"Did not reoffend","Males",56,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.35206781534228
"Did not reoffend","Males",58,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.5907380727309
"Did not reoffend","Males",77,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.31273318296047
"Did reoffend","Males",27,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Violent offences",5,"Left-handed individuals",5.56979619574418
"Did not reoffend","Females",32,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.5749710866618
"Did not reoffend","Males",58,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.70211037185727
"Did not reoffend","Males",56,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.80347911991793
"Did not reoffend","Males",58,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.7873202944219
"Did not reoffend","Males",52,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.54785753689261
"Did not reoffend","Females",45,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.65273900331702
"Did not reoffend","Males",21,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.52668236631495
"Did reoffend","Males",22,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.73107783687434
"Did not reoffend","Males",51,"African-Americans",17,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.55697374901987
"Did reoffend","Males",23,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",5.90391326233514
"Did reoffend","Males",31,"Caucasians",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.54029645071843
"Did reoffend","Males",20,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",5.74076474066506
"Did not reoffend","Males",48,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.91821422835637
"Did not reoffend","Males",32,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.43843128891627
"Did reoffend","Males",28,"African-Americans",10,0,1,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.85654869782278
"Did not reoffend","Males",25,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.73765931316623
"Did reoffend","Males",29,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.31827601663324
"Did not reoffend","Males",24,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.64112872479756
"Did reoffend","Males",25,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.05009670164743
"Did reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.79458336516374
"Did reoffend","Males",30,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.33255516337771
"Did reoffend","Females",22,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.1067257392111
"Did not reoffend","Males",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.72271855537946
"Did not reoffend","Males",46,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.56416949322973
"Did reoffend","Males",29,"African-Americans",13,0,1,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",5.99037886718659
"Did reoffend","Males",30,"African-Americans",7,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",6.18885124480843
"Did reoffend","Females",33,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.68832594787728
"Did not reoffend","Males",60,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.74934249620783
"Did reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.95488712371982
"Did reoffend","Females",37,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.80457001954672
"Did not reoffend","Males",32,"Caucasians",6,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.93323182557989
"Did not reoffend","Males",31,"African-Americans",15,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.80657765608293
"Did reoffend","Males",27,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.61617239037365
"Did reoffend","Males",28,"African-Americans",5,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.80974337777058
"Did reoffend","Males",31,"Hispanics",7,1,0,"Individuals convicted of a Misdemeanor","Non-violent offences",9,"Right-handed individuals",6.12654114255459
"Did not reoffend","Males",39,"African-Americans",10,0,4,"Individuals convicted of a Misdemeanor","Non-violent offences",9,"Right-handed individuals",6.15342191660237
"Did not reoffend","Males",32,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",9,"Right-handed individuals",6.28073136585338
"Did not reoffend","Females",29,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.72533250496436
"Did not reoffend","Females",28,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.44633910953387
"Did not reoffend","Females",22,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.60567091700354
"Did reoffend","Males",25,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.93640508382919
"Did not reoffend","Males",29,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.81609990527783
"Did reoffend","Males",38,"African-Americans",17,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.76136364153218
"Did not reoffend","Females",40,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.60529662947178
"Did not reoffend","Females",58,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.3767937671195
"Did reoffend","Males",21,"African-Americans",1,1,0,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",6.11364849713515
"Did reoffend","Males",29,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.60254123101853
"Did not reoffend","Males",31,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.60323347239877
"Did not reoffend","Males",47,"Asians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.46886652686168
"Did not reoffend","Males",28,"African-Americans",12,1,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.96652863474342
"Did reoffend","Females",34,"Caucasians",15,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.00985631231883
"Did not reoffend","Females",38,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.46368658732749
"Did not reoffend","Females",35,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.90747426185449
"Did reoffend","Males",47,"Caucasians",28,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.12260163514926
"Did reoffend","Males",50,"Hispanics",3,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.99498785148304
"Did reoffend","Males",20,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.34872173522827
"Did not reoffend","Males",57,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.66095865774757
"Did not reoffend","Males",30,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.60374615482546
"Did reoffend","Males",28,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.65562151439891
"Did not reoffend","Males",50,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.62058641400337
"Did not reoffend","Males",56,"Caucasians",5,0,0,"Individuals convicted of a Misdemeanor","Violent offences",7,"Left-handed individuals",5.88466578537132
"Did reoffend","Males",38,"Others",1,0,0,"Individuals convicted of a Felony","Violent offences",1,"Left-handed individuals",5.48256983966968
"Did reoffend","Males",30,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Violent offences",5,"Left-handed individuals",5.65447587367724
"Did reoffend","Males",33,"African-Americans",16,0,2,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.69826854956077
"Did reoffend","Males",31,"African-Americans",9,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.71285561637854
"Did reoffend","Males",27,"Caucasians",4,0,1,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.58597425330918
"Did reoffend","Males",54,"African-Americans",8,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.56920087449179
"Did reoffend","Females",60,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.69561708779795
"Did reoffend","Males",26,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.81698330009999
