"loan_amnt","term","home_ownership","annual_inc","loan_status","sub_grade_int_map","region","sex","age","vegetarian","weight"
10000,"36 month loans","Paying off mortgage",80000,"Positive",2,"US West inhabitants","Males",39.76,"Vegetarians",160.769230769231
13000,"36 month loans","Paying off mortgage",75000,"Positive",3,"US West inhabitants","Males",38.4,"Vegetarians",167.692307692308
8000,"36 month loans","Paying off mortgage",35000,"Positive",3,"US West inhabitants","Males",27.52,"Vegetarians",156.153846153846
9600,"36 month loans","Paying off mortgage",55000,"Positive",2,"US West inhabitants","Males",32.96,"Vegetarians",159.846153846154
28000,"36 month loans","Paying off mortgage",135000,"Positive",2,"US West inhabitants","Males",54.72,"Vegetarians",202.307692307692
7200,"36 month loans","Renters",110000,"Positive",3,"US West inhabitants","Males",47.92,"Vegetarians",154.307692307692
10000,"60 month loans","Paying off mortgage",70000,"Positive",6,"US West inhabitants","Males",37.04,"Vegetarians",160.769230769231
32000,"60 month loans","Paying off mortgage",110000,"Positive",10,"US West inhabitants","Males",47.92,"Vegetarians",211.538461538462
9600,"36 month loans","Paying off mortgage",28872,"Positive",4,"US West inhabitants","Males",25.853184,"Vegetarians",159.846153846154
28000,"36 month loans","Renters",155000,"Positive",3,"US West inhabitants","Males",60.16,"Vegetarians",202.307692307692
5375,"36 month loans","Renters",20337.46,"Positive",2,"US West inhabitants","Males",23.53178912,"Vegetarians",150.096153846154
5000,"36 month loans","Renters",50000,"Positive",5,"US West inhabitants","Males",31.6,"Vegetarians",149.230769230769
24000,"36 month loans","Renters",150000,"Positive",2,"US West inhabitants","Males",58.8,"Vegetarians",193.076923076923
10000,"36 month loans","Renters",75000,"Negative",3,"US West inhabitants","Males",38.4,"Vegetarians",160.769230769231
10000,"36 month loans","Renters",30000,"Positive",2,"US West inhabitants","Males",26.16,"Vegetarians",160.769230769231
20000,"60 month loans","Renters",70000,"Negative",3,"US West inhabitants","Males",37.04,"Vegetarians",183.846153846154
28000,"36 month loans","Renters",155000,"Positive",4,"US West inhabitants","Males",60.16,"Vegetarians",202.307692307692
10000,"60 month loans","Renters",77000,"Positive",6,"US West inhabitants","Males",38.944,"Vegetarians",160.769230769231
8000,"36 month loans","Renters",50000,"Positive",5,"US West inhabitants","Males",31.6,"Vegetarians",156.153846153846
24325,"60 month loans","Paying off mortgage",70000,"Positive",3,"US West inhabitants","Males",37.04,"Vegetarians",193.826923076923
6400,"36 month loans","Renters",28000,"Positive",2,"US West inhabitants","Males",25.616,"Vegetarians",152.461538461538
9600,"36 month loans","Renters",70000,"Positive",2,"US West inhabitants","Males",37.04,"Vegetarians",159.846153846154
7575,"36 month loans","Paying off mortgage",33000,"Negative",5,"US West inhabitants","Males",26.976,"Vegetarians",155.173076923077
13500,"60 month loans","Renters",45000,"Positive",7,"US West inhabitants","Males",30.24,"Vegetarians",168.846153846154
6500,"36 month loans","Renters",33800,"Positive",6,"US West inhabitants","Males",27.1936,"Vegetarians",152.692307692308
28000,"36 month loans","Renters",68000,"Positive",3,"US West inhabitants","Males",36.496,"Vegetarians",202.307692307692
8000,"36 month loans","Renters",42000,"Negative",4,"US West inhabitants","Males",29.424,"Vegetarians",156.153846153846
33425,"60 month loans","Paying off mortgage",75000,"Positive",4,"US West inhabitants","Males",38.4,"Vegetarians",214.826923076923
20000,"36 month loans","Renters",60000,"Positive",3,"US West inhabitants","Males",34.32,"Vegetarians",183.846153846154
14150,"36 month loans","Paying off mortgage",65000,"Positive",5,"US West inhabitants","Males",35.68,"Vegetarians",170.346153846154
21000,"36 month loans","Renters",55000,"Positive",1,"US West inhabitants","Males",32.96,"Vegetarians",186.153846153846
8000,"36 month loans","Renters",65000,"Positive",4,"US West inhabitants","Males",35.68,"Vegetarians",156.153846153846
20000,"36 month loans","Renters",55000,"Positive",2,"US West inhabitants","Males",32.96,"Vegetarians",183.846153846154
8875,"36 month loans","Renters",30000,"Positive",4,"US West inhabitants","Males",26.16,"Vegetarians",158.173076923077
20000,"60 month loans","Renters",65000,"Positive",3,"US West inhabitants","Males",35.68,"Vegetarians",183.846153846154
30000,"36 month loans","Renters",48737,"Negative",3,"US West inhabitants","Males",31.256464,"Vegetarians",206.923076923077
15000,"36 month loans","Renters",50000,"Positive",2,"US West inhabitants","Males",31.6,"Vegetarians",172.307692307692
7200,"36 month loans","Renters",30000,"Positive",5,"US West inhabitants","Males",26.16,"Vegetarians",154.307692307692
12400,"36 month loans","Renters",54000,"Positive",3,"US West inhabitants","Males",32.688,"Vegetarians",166.307692307692
14000,"36 month loans","Renters",60000,"Positive",3,"US West inhabitants","Males",34.32,"Vegetarians",170
4000,"36 month loans","Renters",83500,"Positive",2,"US West inhabitants","Males",40.712,"Vegetarians",146.923076923077
15000,"60 month loans","Renters",54000,"Positive",7,"US West inhabitants","Males",32.688,"Vegetarians",172.307692307692
12700,"36 month loans","Renters",60000,"Negative",3,"US West inhabitants","Males",34.32,"Vegetarians",167
15000,"36 month loans","Paying off mortgage",95000,"Positive",3,"US West inhabitants","Males",43.84,"Vegetarians",172.307692307692
24000,"36 month loans","Paying off mortgage",85000,"Positive",3,"US West inhabitants","Males",41.12,"Vegetarians",193.076923076923
35000,"60 month loans","Paying off mortgage",132995,"Positive",5,"US West inhabitants","Males",54.17464,"Vegetarians",218.461538461538
12000,"60 month loans","Renters",85000,"Positive",4,"US West inhabitants","Males",41.12,"Vegetarians",165.384615384615
2200,"36 month loans","Paying off mortgage",45000,"Negative",2,"US West inhabitants","Males",30.24,"Vegetarians",142.769230769231
20000,"36 month loans","Paying off mortgage",82000,"Positive",3,"US West inhabitants","Males",40.304,"Vegetarians",183.846153846154
7000,"36 month loans","Renters",71000,"Positive",3,"US West inhabitants","Males",37.312,"Vegetarians",153.846153846154
9000,"36 month loans","Renters",55000,"Positive",2,"US West inhabitants","Males",32.96,"Vegetarians",158.461538461538
2800,"36 month loans","Paying off mortgage",52800,"Positive",1,"US West inhabitants","Males",32.3616,"Vegetarians",144.153846153846
4800,"36 month loans","Renters",45000,"Positive",3,"US West inhabitants","Males",30.24,"Vegetarians",148.769230769231
12400,"36 month loans","Paying off mortgage",49500,"Positive",7,"US West inhabitants","Males",31.464,"Vegetarians",166.307692307692
10000,"36 month loans","Renters",78000,"Positive",1,"US West inhabitants","Males",39.216,"Vegetarians",160.769230769231
4800,"36 month loans","Renters",52800,"Positive",4,"US West inhabitants","Males",32.3616,"Vegetarians",148.769230769231
25000,"36 month loans","Renters",65000,"Positive",4,"US West inhabitants","Males",35.68,"Vegetarians",195.384615384615
6000,"36 month loans","Renters",40000,"Negative",4,"US West inhabitants","Males",28.88,"Vegetarians",151.538461538462
10000,"36 month loans","Paying off mortgage",35000,"Positive",4,"US West inhabitants","Males",27.52,"Vegetarians",160.769230769231
14500,"36 month loans","Renters",75734,"Positive",2,"US West inhabitants","Males",38.599648,"Vegetarians",171.153846153846
5000,"36 month loans","Home owners",24000,"Positive",3,"US West inhabitants","Males",24.528,"Vegetarians",149.230769230769
15000,"36 month loans","Renters",55000,"Positive",4,"US West inhabitants","Males",32.96,"Vegetarians",172.307692307692
10075,"36 month loans","Home owners",29028,"Positive",2,"US West inhabitants","Males",25.895616,"Vegetarians",160.942307692308
3000,"36 month loans","Home owners",114000,"Positive",3,"US West inhabitants","Males",49.008,"Vegetarians",144.615384615385
16875,"36 month loans","Renters",72000,"Positive",2,"US West inhabitants","Males",37.584,"Vegetarians",176.634615384615
8000,"36 month loans","Paying off mortgage",72000,"Negative",1,"US West inhabitants","Males",37.584,"Vegetarians",156.153846153846
16000,"36 month loans","Paying off mortgage",85000,"Positive",3,"US West inhabitants","Males",41.12,"Vegetarians",174.615384615385
20000,"60 month loans","Paying off mortgage",58000,"Positive",6,"US West inhabitants","Males",33.776,"Vegetarians",183.846153846154
3000,"36 month loans","Renters",85000,"Positive",4,"US West inhabitants","Males",41.12,"Vegetarians",144.615384615385
8000,"36 month loans","Paying off mortgage",140000,"Positive",3,"US West inhabitants","Males",56.08,"Vegetarians",156.153846153846
5525,"36 month loans","Renters",30000,"Positive",2,"US West inhabitants","Males",26.16,"Vegetarians",150.442307692308
20000,"36 month loans","Paying off mortgage",130000,"Positive",2,"US West inhabitants","Males",53.36,"Vegetarians",183.846153846154
6500,"36 month loans","Renters",120000,"Positive",3,"US West inhabitants","Males",50.64,"Vegetarians",152.692307692308
5000,"36 month loans","Renters",15000,"Positive",2,"US West inhabitants","Males",22.08,"Vegetarians",149.230769230769
12000,"36 month loans","Renters",115000,"Positive",6,"US West inhabitants","Males",49.28,"Vegetarians",165.384615384615
8250,"36 month loans","Paying off mortgage",92000,"Positive",2,"US West inhabitants","Males",43.024,"Vegetarians",156.730769230769
28000,"60 month loans","Paying off mortgage",120000,"Positive",5,"US West inhabitants","Males",50.64,"Vegetarians",202.307692307692
15000,"36 month loans","Renters",72000,"Positive",3,"US West inhabitants","Males",37.584,"Vegetarians",172.307692307692
8400,"36 month loans","Renters",45000,"Positive",3,"US West inhabitants","Males",30.24,"Vegetarians",157.076923076923
6000,"60 month loans","Renters",85000,"Positive",4,"US West inhabitants","Males",41.12,"Vegetarians",151.538461538462
9600,"36 month loans","Paying off mortgage",37000,"Positive",2,"US West inhabitants","Males",28.064,"Vegetarians",159.846153846154
25525,"36 month loans","Paying off mortgage",130000,"Positive",5,"US West inhabitants","Males",53.36,"Vegetarians",196.596153846154
11575,"36 month loans","Renters",35000,"Negative",6,"US West inhabitants","Males",27.52,"Vegetarians",164.403846153846
8000,"36 month loans","Renters",40000,"Positive",4,"US West inhabitants","Males",28.88,"Vegetarians",156.153846153846
10000,"36 month loans","Renters",34000,"Positive",4,"US West inhabitants","Males",27.248,"Vegetarians",160.769230769231
23675,"60 month loans","Renters",52000,"Positive",6,"US West inhabitants","Males",32.144,"Vegetarians",192.326923076923
14000,"60 month loans","Renters",55000,"Negative",9,"US West inhabitants","Males",32.96,"Vegetarians",170
10000,"36 month loans","Renters",44000,"Positive",2,"US West inhabitants","Males",29.968,"Vegetarians",160.769230769231
15000,"36 month loans","Paying off mortgage",110000,"Positive",3,"US West inhabitants","Males",47.92,"Vegetarians",172.307692307692
20000,"36 month loans","Renters",72000,"Positive",2,"US West inhabitants","Males",37.584,"Vegetarians",183.846153846154
12000,"36 month loans","Renters",73000,"Positive",2,"US West inhabitants","Males",37.856,"Vegetarians",165.384615384615
15000,"36 month loans","Renters",50000,"Positive",2,"US West inhabitants","Males",31.6,"Vegetarians",172.307692307692
11000,"36 month loans","Paying off mortgage",82500,"Positive",2,"US West inhabitants","Males",40.44,"Vegetarians",163.076923076923
31000,"60 month loans","Renters",124000,"Positive",5,"US West inhabitants","Males",51.728,"Vegetarians",209.230769230769
8800,"36 month loans","Renters",70000,"Positive",3,"US West inhabitants","Males",37.04,"Vegetarians",158
2400,"36 month loans","Renters",30000,"Positive",4,"US West inhabitants","Males",26.16,"Vegetarians",143.230769230769
11000,"36 month loans","Renters",46000,"Positive",4,"US West inhabitants","Males",30.512,"Vegetarians",163.076923076923
15000,"60 month loans","Renters",40000,"Positive",3,"US West inhabitants","Males",28.88,"Vegetarians",172.307692307692
15000,"60 month loans","Renters",35000,"Positive",4,"US West inhabitants","Males",27.52,"Vegetarians",172.307692307692
20000,"36 month loans","Renters",2e+05,"Positive",1,"US West inhabitants","Males",72.4,"Vegetarians",183.846153846154
19000,"36 month loans","Paying off mortgage",58000,"Positive",2,"US West inhabitants","Males",33.776,"Vegetarians",181.538461538462
10600,"60 month loans","Paying off mortgage",72800,"Negative",5,"US West inhabitants","Males",37.8016,"Vegetarians",162.153846153846
24000,"36 month loans","Paying off mortgage",150000,"Positive",2,"US West inhabitants","Males",58.8,"Vegetarians",193.076923076923
7500,"36 month loans","Paying off mortgage",65000,"Positive",2,"US West inhabitants","Males",35.68,"Vegetarians",155
21000,"36 month loans","Paying off mortgage",180000,"Negative",4,"US West inhabitants","Males",66.96,"Vegetarians",186.153846153846
24925,"60 month loans","Renters",80000,"Negative",5,"US West inhabitants","Males",39.76,"Vegetarians",195.211538461538
20000,"36 month loans","Renters",51750,"Positive",3,"US West inhabitants","Males",32.076,"Vegetarians",183.846153846154
19200,"36 month loans","Renters",80000,"Negative",4,"US West inhabitants","Males",39.76,"Vegetarians",182
10000,"36 month loans","Renters",135752,"Positive",5,"US West inhabitants","Males",54.924544,"Vegetarians",160.769230769231
2875,"36 month loans","Renters",56125,"Positive",3,"US West inhabitants","Males",33.266,"Vegetarians",144.326923076923
10000,"36 month loans","Renters",68000,"Positive",4,"US West inhabitants","Males",36.496,"Vegetarians",160.769230769231
2000,"36 month loans","Renters",33600,"Positive",3,"US West inhabitants","Males",27.1392,"Vegetarians",142.307692307692
21000,"36 month loans","Paying off mortgage",225000,"Negative",5,"US West inhabitants","Males",79.2,"Vegetarians",186.153846153846
15000,"36 month loans","Renters",60000,"Positive",5,"US West inhabitants","Males",34.32,"Vegetarians",172.307692307692
12000,"36 month loans","Renters",92000,"Positive",1,"US West inhabitants","Males",43.024,"Vegetarians",165.384615384615
3500,"36 month loans","Renters",30000,"Negative",7,"US West inhabitants","Males",26.16,"Vegetarians",145.769230769231
12500,"60 month loans","Paying off mortgage",92000,"Positive",4,"US West inhabitants","Males",43.024,"Vegetarians",166.538461538462
28000,"36 month loans","Renters",140000,"Positive",3,"US West inhabitants","Males",56.08,"Vegetarians",202.307692307692
10000,"36 month loans","Renters",51400,"Positive",2,"US West inhabitants","Males",31.9808,"Vegetarians",160.769230769231
12000,"36 month loans","Renters",55000,"Positive",2,"US West inhabitants","Males",32.96,"Vegetarians",165.384615384615
14400,"36 month loans","Renters",67000,"Positive",4,"US West inhabitants","Males",36.224,"Vegetarians",170.923076923077
24000,"36 month loans","Paying off mortgage",98000,"Positive",2,"US West inhabitants","Males",44.656,"Vegetarians",193.076923076923
33550,"36 month loans","Renters",180000,"Positive",5,"US West inhabitants","Males",66.96,"Vegetarians",215.115384615385
15000,"36 month loans","Renters",74000,"Positive",7,"US West inhabitants","Males",38.128,"Vegetarians",172.307692307692
12000,"36 month loans","Renters",33000,"Positive",3,"US West inhabitants","Males",26.976,"Vegetarians",165.384615384615
17600,"60 month loans","Renters",70000,"Positive",6,"US West inhabitants","Males",37.04,"Vegetarians",178.307692307692
10000,"36 month loans","Home owners",60000,"Positive",3,"US West inhabitants","Males",34.32,"Vegetarians",160.769230769231
4000,"36 month loans","Paying off mortgage",90000,"Positive",4,"US West inhabitants","Males",42.48,"Vegetarians",146.923076923077
10000,"36 month loans","Paying off mortgage",60000,"Positive",3,"US West inhabitants","Males",34.32,"Vegetarians",160.769230769231
20000,"36 month loans","Paying off mortgage",120000,"Negative",3,"US West inhabitants","Males",50.64,"Vegetarians",183.846153846154
24000,"60 month loans","Paying off mortgage",237000,"Positive",4,"US West inhabitants","Males",82.464,"Vegetarians",193.076923076923
18000,"60 month loans","Paying off mortgage",75000,"Positive",4,"US West inhabitants","Males",38.4,"Vegetarians",179.230769230769
25200,"60 month loans","Renters",75000,"Positive",6,"US West inhabitants","Males",38.4,"Vegetarians",195.846153846154
20000,"36 month loans","Paying off mortgage",165283,"Positive",4,"US West inhabitants","Males",62.956976,"Vegetarians",183.846153846154
5600,"36 month loans","Renters",60000,"Positive",2,"US West inhabitants","Males",34.32,"Vegetarians",150.615384615385
17975,"36 month loans","Renters",45000,"Positive",6,"US West inhabitants","Males",30.24,"Vegetarians",179.173076923077
15000,"60 month loans","Paying off mortgage",90000,"Positive",2,"US West inhabitants","Males",42.48,"Vegetarians",172.307692307692
4000,"36 month loans","Renters",43000,"Positive",6,"US West inhabitants","Males",29.696,"Vegetarians",146.923076923077
20000,"60 month loans","Paying off mortgage",70000,"Positive",3,"US West inhabitants","Males",37.04,"Vegetarians",183.846153846154
35000,"36 month loans","Paying off mortgage",125000,"Positive",4,"US West inhabitants","Males",52,"Vegetarians",218.461538461538
3600,"36 month loans","Renters",45000,"Positive",3,"US West inhabitants","Males",30.24,"Vegetarians",146
24000,"36 month loans","Paying off mortgage",85000,"Positive",2,"US West inhabitants","Males",41.12,"Vegetarians",193.076923076923
28000,"36 month loans","Paying off mortgage",205000,"Positive",1,"US West inhabitants","Males",73.76,"Vegetarians",202.307692307692
24500,"36 month loans","Paying off mortgage",120000,"Positive",1,"US West inhabitants","Males",50.64,"Vegetarians",194.230769230769
12225,"36 month loans","Renters",34000,"Positive",5,"US West inhabitants","Males",27.248,"Vegetarians",165.903846153846
26000,"60 month loans","Paying off mortgage",92000,"Positive",6,"US West inhabitants","Males",43.024,"Vegetarians",197.692307692308
8000,"36 month loans","Paying off mortgage",90000,"Positive",4,"US West inhabitants","Males",42.48,"Vegetarians",156.153846153846
25575,"36 month loans","Paying off mortgage",158000,"Positive",3,"US West inhabitants","Males",60.976,"Vegetarians",196.711538461538
16000,"60 month loans","Paying off mortgage",102831,"Positive",3,"US West inhabitants","Males",45.970032,"Vegetarians",174.615384615385
4250,"36 month loans","Renters",30000,"Positive",5,"US West inhabitants","Males",26.16,"Vegetarians",147.5
11400,"60 month loans","Paying off mortgage",52000,"Positive",5,"US West inhabitants","Males",32.144,"Vegetarians",164
30000,"60 month loans","Paying off mortgage",105625,"Positive",7,"US West inhabitants","Males",46.73,"Vegetarians",206.923076923077
4500,"36 month loans","Renters",28000,"Positive",3,"US West inhabitants","Males",25.616,"Vegetarians",148.076923076923
3500,"36 month loans","Paying off mortgage",56000,"Positive",6,"US West inhabitants","Males",33.232,"Vegetarians",145.769230769231
30000,"36 month loans","Paying off mortgage",68000,"Positive",4,"US West inhabitants","Males",36.496,"Vegetarians",206.923076923077
18200,"60 month loans","Paying off mortgage",90000,"Positive",5,"US West inhabitants","Males",42.48,"Vegetarians",179.692307692308
17375,"60 month loans","Paying off mortgage",70000,"Positive",6,"US West inhabitants","Males",37.04,"Vegetarians",177.788461538462
12225,"36 month loans","Paying off mortgage",35000,"Positive",7,"US West inhabitants","Males",27.52,"Vegetarians",165.903846153846
28000,"60 month loans","Paying off mortgage",97500,"Positive",3,"US West inhabitants","Males",44.52,"Vegetarians",202.307692307692
5000,"36 month loans","Paying off mortgage",75000,"Positive",1,"US West inhabitants","Males",38.4,"Vegetarians",149.230769230769
20000,"36 month loans","Home owners",109000,"Positive",1,"US West inhabitants","Males",47.648,"Vegetarians",183.846153846154
16000,"60 month loans","Renters",32240,"Negative",5,"US West inhabitants","Males",26.76928,"Vegetarians",174.615384615385
12000,"60 month loans","Renters",110000,"Positive",6,"US West inhabitants","Males",47.92,"Vegetarians",165.384615384615
5000,"36 month loans","Renters",74000,"Positive",3,"US West inhabitants","Males",38.128,"Vegetarians",149.230769230769
8600,"36 month loans","Renters",42000,"Negative",4,"US West inhabitants","Males",29.424,"Vegetarians",157.538461538462
1500,"36 month loans","Home owners",95400,"Positive",2,"US West inhabitants","Males",43.9488,"Vegetarians",141.153846153846
7500,"36 month loans","Renters",30000,"Positive",4,"US West inhabitants","Males",26.16,"Vegetarians",155
2400,"36 month loans","Paying off mortgage",50000,"Positive",4,"US West inhabitants","Males",31.6,"Vegetarians",143.230769230769
17000,"36 month loans","Paying off mortgage",130000,"Positive",5,"US West inhabitants","Males",53.36,"Vegetarians",176.923076923077
35000,"36 month loans","Paying off mortgage",126000,"Positive",5,"US West inhabitants","Males",52.272,"Vegetarians",218.461538461538
10000,"36 month loans","Paying off mortgage",99000,"Positive",2,"US West inhabitants","Males",44.928,"Vegetarians",160.769230769231
3500,"36 month loans","Renters",12100,"Positive",3,"US West inhabitants","Males",21.2912,"Vegetarians",145.769230769231
3000,"36 month loans","Paying off mortgage",99000,"Positive",4,"US West inhabitants","Males",44.928,"Vegetarians",144.615384615385
7200,"36 month loans","Renters",35000,"Positive",3,"US West inhabitants","Males",27.52,"Vegetarians",154.307692307692
13000,"36 month loans","Home owners",120000,"Positive",2,"US West inhabitants","Males",50.64,"Vegetarians",167.692307692308
16300,"60 month loans","Paying off mortgage",55000,"Positive",5,"US West inhabitants","Males",32.96,"Vegetarians",175.307692307692
25000,"60 month loans","Paying off mortgage",90500,"Positive",6,"US West inhabitants","Males",42.616,"Vegetarians",195.384615384615
20000,"36 month loans","Paying off mortgage",97000,"Positive",1,"US West inhabitants","Males",44.384,"Vegetarians",183.846153846154
24000,"60 month loans","Renters",65000,"Positive",3,"US West inhabitants","Males",35.68,"Vegetarians",193.076923076923
22000,"36 month loans","Paying off mortgage",175000,"Negative",6,"US West inhabitants","Males",65.6,"Vegetarians",188.461538461538
23000,"36 month loans","Renters",95000,"Negative",3,"US West inhabitants","Males",43.84,"Vegetarians",190.769230769231
15000,"36 month loans","Paying off mortgage",54000,"Positive",2,"US West inhabitants","Males",32.688,"Vegetarians",172.307692307692
10000,"36 month loans","Paying off mortgage",52000,"Positive",1,"US West inhabitants","Males",32.144,"Vegetarians",160.769230769231
4000,"36 month loans","Paying off mortgage",41400,"Positive",3,"US West inhabitants","Males",29.2608,"Vegetarians",146.923076923077
7000,"36 month loans","Renters",28000,"Positive",3,"US West inhabitants","Males",25.616,"Vegetarians",153.846153846154
35000,"60 month loans","Renters",82000,"Positive",7,"US West inhabitants","Males",40.304,"Vegetarians",218.461538461538
8000,"36 month loans","Renters",50859.53,"Positive",3,"US West inhabitants","Males",31.83379216,"Vegetarians",156.153846153846
6400,"36 month loans","Paying off mortgage",60000,"Positive",2,"US West inhabitants","Males",34.32,"Vegetarians",152.461538461538
24000,"60 month loans","Paying off mortgage",175000,"Positive",5,"US West inhabitants","Males",65.6,"Vegetarians",193.076923076923
1600,"36 month loans","Paying off mortgage",36136,"Positive",3,"US West inhabitants","Males",27.828992,"Vegetarians",141.384615384615
4000,"36 month loans","Renters",70000,"Positive",2,"US West inhabitants","Males",37.04,"Vegetarians",146.923076923077
15700,"36 month loans","Paying off mortgage",50000,"Negative",7,"US West inhabitants","Males",31.6,"Vegetarians",173.923076923077
1800,"36 month loans","Paying off mortgage",32000,"Positive",4,"US West inhabitants","Males",26.704,"Vegetarians",141.846153846154
16000,"36 month loans","Paying off mortgage",80000,"Positive",4,"US West inhabitants","Males",39.76,"Vegetarians",174.615384615385
6000,"36 month loans","Paying off mortgage",50000,"Positive",3,"US West inhabitants","Males",31.6,"Vegetarians",151.538461538462
39600,"36 month loans","Paying off mortgage",110000,"Positive",2,"US West inhabitants","Males",47.92,"Vegetarians",229.076923076923
10000,"60 month loans","Paying off mortgage",48000,"Positive",3,"US West inhabitants","Males",31.056,"Vegetarians",160.769230769231
19800,"60 month loans","Paying off mortgage",82000,"Positive",3,"US West inhabitants","Males",40.304,"Vegetarians",183.384615384615
20000,"60 month loans","Renters",69000,"Positive",7,"US West inhabitants","Males",36.768,"Vegetarians",183.846153846154
1000,"36 month loans","Paying off mortgage",1e+05,"Positive",3,"US West inhabitants","Males",45.2,"Vegetarians",140
5300,"60 month loans","Paying off mortgage",61000,"Negative",4,"US West inhabitants","Males",34.592,"Vegetarians",149.923076923077
22000,"36 month loans","Renters",50000,"Positive",6,"US West inhabitants","Males",31.6,"Vegetarians",188.461538461538
6775,"36 month loans","Renters",115000,"Positive",3,"US West inhabitants","Males",49.28,"Vegetarians",153.326923076923
23600,"60 month loans","Paying off mortgage",59000,"Negative",5,"US West inhabitants","Males",34.048,"Vegetarians",192.153846153846
20325,"60 month loans","Paying off mortgage",57500,"Positive",8,"US West inhabitants","Males",33.64,"Vegetarians",184.596153846154
2000,"36 month loans","Paying off mortgage",42000,"Positive",4,"US West inhabitants","Males",29.424,"Vegetarians",142.307692307692
20000,"36 month loans","Paying off mortgage",120000,"Positive",2,"US West inhabitants","Males",50.64,"Vegetarians",183.846153846154
10000,"36 month loans","Renters",55000,"Negative",3,"US West inhabitants","Males",32.96,"Vegetarians",160.769230769231
10000,"36 month loans","Renters",30000,"Negative",3,"US West inhabitants","Males",26.16,"Vegetarians",160.769230769231
7500,"36 month loans","Paying off mortgage",75000,"Positive",4,"US West inhabitants","Males",38.4,"Vegetarians",155
24000,"60 month loans","Paying off mortgage",75000,"Positive",3,"US West inhabitants","Males",38.4,"Vegetarians",193.076923076923
11000,"36 month loans","Renters",44880,"Negative",4,"US West inhabitants","Males",30.20736,"Vegetarians",163.076923076923
35000,"60 month loans","Paying off mortgage",120000,"Positive",8,"US West inhabitants","Males",50.64,"Vegetarians",218.461538461538
15400,"60 month loans","Renters",68000,"Positive",4,"US West inhabitants","Males",36.496,"Vegetarians",173.230769230769
19750,"60 month loans","Paying off mortgage",75000,"Positive",4,"US West inhabitants","Males",38.4,"Vegetarians",183.269230769231
8000,"36 month loans","Renters",32820,"Positive",5,"US West inhabitants","Males",26.92704,"Vegetarians",156.153846153846
12000,"36 month loans","Paying off mortgage",130000,"Positive",3,"US West inhabitants","Males",53.36,"Vegetarians",165.384615384615
24000,"60 month loans","Paying off mortgage",72000,"Positive",4,"US West inhabitants","Males",37.584,"Vegetarians",193.076923076923
18000,"60 month loans","Paying off mortgage",75000,"Positive",6,"US West inhabitants","Males",38.4,"Vegetarians",179.230769230769
14400,"36 month loans","Paying off mortgage",93000,"Positive",2,"US West inhabitants","Males",43.296,"Vegetarians",170.923076923077
15000,"36 month loans","Paying off mortgage",55620,"Positive",7,"US West inhabitants","Males",33.12864,"Vegetarians",172.307692307692
24000,"60 month loans","Home owners",90000,"Positive",6,"US West inhabitants","Males",42.48,"Vegetarians",193.076923076923
6500,"36 month loans","Paying off mortgage",48230,"Positive",4,"US West inhabitants","Males",31.11856,"Vegetarians",152.692307692308
10325,"36 month loans","Home owners",92000,"Positive",1,"US West inhabitants","Males",43.024,"Vegetarians",161.519230769231
18000,"36 month loans","Renters",114000,"Positive",2,"US West inhabitants","Males",49.008,"Vegetarians",179.230769230769
25000,"36 month loans","Renters",82000,"Negative",4,"US West inhabitants","Males",40.304,"Vegetarians",195.384615384615
18000,"36 month loans","Renters",46000,"Positive",2,"US West inhabitants","Males",30.512,"Vegetarians",179.230769230769
20000,"60 month loans","Home owners",55000,"Positive",3,"US West inhabitants","Males",32.96,"Vegetarians",183.846153846154
20000,"36 month loans","Paying off mortgage",86250,"Positive",2,"US West inhabitants","Males",41.46,"Vegetarians",183.846153846154
13200,"60 month loans","Renters",37000,"Negative",5,"US Northeast inhabitants","Males",28.064,"Vegetarians",168.153846153846
12525,"60 month loans","Paying off mortgage",50000,"Negative",4,"US Northeast inhabitants","Males",31.6,"Vegetarians",166.596153846154
7625,"36 month loans","Paying off mortgage",30000,"Positive",3,"US Northeast inhabitants","Males",26.16,"Vegetarians",155.288461538462
4800,"36 month loans","Renters",82600,"Positive",4,"US Northeast inhabitants","Males",40.4672,"Vegetarians",148.769230769231
20000,"60 month loans","Renters",106000,"Negative",6,"US Northeast inhabitants","Males",46.832,"Vegetarians",183.846153846154
21600,"60 month loans","Home owners",124000,"Positive",4,"US Northeast inhabitants","Males",51.728,"Vegetarians",187.538461538462
10000,"60 month loans","Paying off mortgage",112000,"Positive",4,"US Northeast inhabitants","Males",48.464,"Vegetarians",160.769230769231
7200,"36 month loans","Paying off mortgage",83200,"Positive",3,"US Northeast inhabitants","Males",40.6304,"Vegetarians",154.307692307692
5000,"36 month loans","Renters",42000,"Positive",2,"US Northeast inhabitants","Males",29.424,"Vegetarians",149.230769230769
22500,"36 month loans","Renters",45000,"Positive",3,"US Northeast inhabitants","Males",30.24,"Vegetarians",189.615384615385
10000,"36 month loans","Paying off mortgage",70000,"Positive",2,"US Northeast inhabitants","Males",37.04,"Vegetarians",160.769230769231
20000,"36 month loans","Paying off mortgage",65000,"Negative",4,"US Northeast inhabitants","Males",35.68,"Vegetarians",183.846153846154
16675,"36 month loans","Renters",52270,"Positive",5,"US Northeast inhabitants","Males",32.21744,"Vegetarians",176.173076923077
10000,"36 month loans","Renters",35000,"Positive",5,"US Northeast inhabitants","Males",27.52,"Vegetarians",160.769230769231
